,0
20,(V0[i-1] & V0[i] & V1[i] & ~DL[i] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & ~DL[i] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i+1] & ~DL[i] & ~V1[i+1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~DL[i] & ~V1[i+1]) | (V0[i-1] & V0[i] & V1[i] & ~DL[i-1] & ~DL[i] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & V0[i-1] & V0[i] & V1[i] & ~DL[i-1] & ~DL[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & V1[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~DL[i] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1]) | (V0[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i-1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
21,(V1[i] & ~V0[i]) | (DL[i+1] & V0[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V1[i])
22,(DL[i-1] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i] & ~DL[i+1] & ~V1[i-1]) | (V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (V0[i+1] & V0[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (V0[i+1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (V0[i-1] & V1[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V1[i-1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V0[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i+1]) | (V0[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (DL[i-1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
23,(V0[i+1] & V0[i] & V1[i] & ~DL[i+1]) | (V0[i] & V1[i+1] & V1[i] & ~DL[i+1]) | (V0[i+1] & V0[i-1] & ~DL[i+1] & ~V1[i-1]) | (V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (V0[i-1] & V1[i+1] & ~DL[i+1] & ~V1[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (V0[i-1] & V0[i] & V1[i+1] & V1[i] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i-1]) | (V0[i-1] & V0[i] & V1[i] & ~DL[i+1] & ~V1[i-1]) | (V0[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & V1[i] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (V0[i+1] & V0[i] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i-1]) | (DL[i-1] & V0[i] & V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (DL[i-1] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1])
24,(DL[i+1] & V0[i-1] & V1[i-1]) | (DL[i+1] & V0[i] & V1[i-1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V1[i]) | (DL[i+1] & V0[i] & V1[i-1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V1[i-1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V1[i-1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i])
25,~DL[i] | (V0[i] & V1[i]) | (~V0[i] & ~V1[i]) | (DL[i+1] & V1[i+1] & ~V0[i+1]) | (V1[i+1] & ~V0[i+1] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~V0[i-1] & ~V1[i])
26,(V0[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i]) | (~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i]) | (V0[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i]) | (V0[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & V0[i-1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (V1[i] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V1[i] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i])
27,(DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1]) | (DL[i+1] & V0[i] & V1[i+1] & V1[i]) | (DL[i+1] & V0[i+1] & V1[i] & ~DL[i-1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (~DL[i] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & ~DL[i] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & ~DL[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & V1[i] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1])
28,(DL[i] & V1[i-1] & V1[i] & ~V0[i-1]) | (DL[i] & V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1]) | (DL[i] & V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1]) | (DL[i] & V0[i+1] & V1[i] & ~DL[i+1] & ~V0[i-1]) | (DL[i] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1]) | (DL[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1]) | (DL[i] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (DL[i] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V0[i+1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]) | (DL[i] & V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i] & V0[i+1] & V1[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i] & V0[i+1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i] & V0[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (DL[i] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V0[i+1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i+1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i+1] & V1[i] & ~DL[i+1] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i]) | (V0[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1])
29,(~V0[i] & ~V1[i]) | (~DL[i] & ~V0[i+1] & ~V1[i+1]) | (V0[i] & V1[i] & ~DL[i+1] & ~V0[i+1]) | (V0[i] & V1[i] & ~DL[i+1] & ~V1[i+1]) | (V0[i] & V1[i] & ~DL[i] & ~V0[i+1]) | (V0[i] & V1[i] & ~V0[i+1] & ~V1[i+1]) | (V0[i-1] & V1[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & ~DL[i+1] & ~V0[i+1] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (V1[i-1] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i+1])
30,(DL[i-1] & V0[i-1] & V0[i] & ~DL[i] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & ~DL[i] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1]) | (DL[i-1] & V0[i-1] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V0[i] & ~DL[i+1] & ~DL[i] & ~V1[i-1]) | (V0[i-1] & V0[i] & ~DL[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i] & ~V1[i-1]) | (DL[i+1] & DL[i-1] & V0[i+1] & V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & V0[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i-1] & ~DL[i+1] & ~DL[i] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & DL[i-1] & V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~DL[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V0[i] & V1[i+1] & ~DL[i+1] & ~V0[i+1] & ~V1[i-1] & ~V1[i])
31,(V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (DL[i+1] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i+1]) | (DL[i+1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (DL[i+1] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (V1[i+1] & V1[i-1] & V1[i] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & V1[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i-1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & DL[i-1] & V1[i+1] & V1[i] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (DL[i+1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i])
32,(V0[i] & V1[i+1] & V1[i] & ~DL[i+1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i]) | (V0[i-1] & V0[i] & V1[i-1] & V1[i] & ~DL[i+1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (V0[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1]) | (V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i-1]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V0[i+1]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i-1] & ~V1[i-1]) | (V0[i] & V1[i] & ~DL[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i] & ~DL[i-1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i-1]) | (V0[i] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i+1] & ~V0[i] & ~V1[i]) | (DL[i] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i-1] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i] & ~V1[i]) | (V0[i+1] & V1[i+1] & ~DL[i+1] & ~DL[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i]) | (~DL[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i-1] & ~V1[i])
33,(V1[i+1] & V1[i-1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i] & ~V1[i]) | (V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1]) | (V1[i+1] & ~DL[i+1] & ~DL[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i] & ~V1[i])
34,(DL[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & V1[i] & ~V0[i]) | (DL[i+1] & DL[i] & V1[i+1] & V1[i]) | (V1[i] & ~DL[i] & ~V0[i]) | (DL[i+1] & DL[i] & V0[i+1] & ~V0[i]) | (DL[i+1] & DL[i] & V1[i+1] & ~V0[i]) | (DL[i] & V1[i+1] & V1[i-1] & ~V0[i-1]) | (DL[i+1] & DL[i] & ~V0[i-1] & ~V0[i]) | (DL[i] & V1[i-1] & ~V0[i+1] & ~V0[i-1]) | (DL[i] & V1[i-1] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & DL[i] & V0[i+1] & V1[i] & ~V0[i-1]) | (DL[i+1] & DL[i] & ~DL[i-1] & ~V0[i] & ~V1[i-1]) | (V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i-1] & ~V0[i]) | (DL[i+1] & DL[i] & V0[i+1] & V1[i] & ~DL[i-1] & ~V1[i-1]) | (DL[i-1] & V1[i+1] & V1[i-1] & V1[i] & ~V0[i+1] & ~V0[i]) | (V0[i] & V1[i+1] & V1[i-1] & ~V0[i+1] & ~V0[i-1] & ~V1[i]) | (V1[i+1] & V1[i] & ~DL[i-1] & ~V0[i+1] & ~V0[i] & ~V1[i-1])
35,(V1[i] & ~V0[i]) | (DL[i+1] & V0[i+1] & ~DL[i-1]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1]) | (DL[i+1] & DL[i] & V0[i] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]) | (DL[i] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~V1[i]) | (DL[i+1] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i] & ~DL[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i] & ~V1[i+1] & ~V1[i]) | (V0[i-1] & V0[i] & V1[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i+1] & V1[i] & ~DL[i-1] & ~DL[i] & ~V1[i+1]) | (V0[i+1] & V0[i] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i] & ~V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i-1] & ~V0[i-1] & ~V1[i+1] & ~V1[i])
36,(V0[i] & ~DL[i] & ~V1[i]) | (DL[i+1] & DL[i] & V0[i-1] & V0[i] & ~V1[i-1]) | (DL[i] & V0[i+1] & V0[i-1] & V0[i] & ~V1[i-1]) | (DL[i+1] & DL[i] & V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i-1] & V0[i-1] & V0[i] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i+1] & V0[i-1] & ~V1[i-1] & ~V1[i]) | (DL[i] & V0[i-1] & V0[i] & ~V1[i+1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & ~V1[i+1] & ~V1[i]) | (DL[i] & V0[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i]) | (DL[i-1] & DL[i] & V0[i+1] & V0[i-1] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i] & V1[i-1] & ~V1[i+1] & ~V1[i]) | (DL[i+1] & V0[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i-1]) | (V0[i+1] & V0[i] & ~DL[i-1] & ~V1[i+1] & ~V1[i-1] & ~V1[i]) | (V0[i-1] & V1[i] & ~DL[i] & ~V0[i] & ~V1[i+1] & ~V1[i-1]) | (DL[i-1] & V0[i+1] & V0[i-1] & V1[i] & ~DL[i+1] & ~V1[i+1] & ~V1[i-1])
37,(DL[i+1] & V0[i-1] & V1[i-1]) | (DL[i+1] & DL[i] & V0[i] & V1[i]) | (DL[i] & ~V0[i] & ~V1[i]) | (DL[i] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (V0[i+1] & V0[i-1] & V1[i-1] & ~DL[i] & ~V0[i] & ~V1[i+1]) | (V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i]) | (DL[i] & V0[i] & V1[i+1] & V1[i-1] & V1[i] & ~DL[i-1] & ~V0[i+1]) | (DL[i+1] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~DL[i] & ~V0[i+1] & ~V0[i])
38,(DL[i+1] & V0[i+1] & ~DL[i-1]) | (DL[i+1] & V0[i+1] & V0[i-1] & V1[i-1]) | (DL[i+1] & V0[i+1] & V0[i] & V1[i]) | (DL[i] & ~V0[i] & ~V1[i]) | (DL[i+1] & V0[i] & V1[i] & ~DL[i-1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i-1] & V1[i]) | (V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & V1[i]) | (DL[i+1] & V0[i+1] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i+1] & V1[i] & ~DL[i-1]) | (DL[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i] & V1[i] & ~DL[i-1] & ~DL[i]) | (V0[i+1] & V0[i] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i] & V1[i+1] & V1[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & ~DL[i]) | (DL[i+1] & V0[i-1] & V0[i] & V1[i-1] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V0[i-1] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~V1[i]) | (DL[i+1] & V0[i+1] & V0[i] & ~DL[i] & ~V0[i-1] & ~V1[i+1]) | (DL[i+1] & V0[i] & V1[i+1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (V0[i+1] & V0[i-1] & V0[i] & V1[i+1] & V1[i-1] & ~DL[i-1] & ~DL[i]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i-1]) | (DL[i+1] & V1[i+1] & ~DL[i-1] & ~V0[i-1] & ~V1[i-1] & ~V1[i]) | (V0[i+1] & V0[i] & V1[i+1] & ~DL[i-1] & ~DL[i] & ~V0[i-1] & ~V1[i-1])
39,(V0[i] & ~V1[i]) | (DL[i+1] & V1[i+1] & V1[i] & ~V0[i+1] & ~V0[i]) | (DL[i] & V0[i+1] & V1[i] & ~V0[i] & ~V1[i+1]) | (V0[i+1] & V1[i] & ~DL[i+1] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V1[i-1] & V1[i] & ~V0[i] & ~V1[i+1]) | (DL[i-1] & V0[i+1] & V1[i] & ~V0[i-1] & ~V0[i] & ~V1[i+1])
